alue;tyovoima;tyolliset;tyottomat
Rautavaara;560;467;93
Rautjärvi;1236;1044;192
Reisjärvi;1087;1018;69
Riihimäki;13488;12334;1154
Ristijärvi;511;461;50
Rovaniemi;30486;27099;3387
Ruokolahti;2053;1814;239
Ruovesi;1675;1530;145
Rusko;3092;2945;147
Rääkkylä;778;643;135
Saarijärvi;3778;3141;637
Salla;1331;1130;201
Salo;23254;20399;2855
Saltvik;902;875;27
Sastamala;10108;9333;775
Sauvo;1341;1269;72
Savitaipale;1348;1202;146
Savonlinna;14098;12122;1976
Savukoski;436;366;70
Seinäjoki;30639;28047;2592
Sievi;1955;1781;174
Siikainen;543;464;79
Siikajoki;2093;1907;186
Siikalatva;2116;1879;237
Siilinjärvi;10111;9313;798
Simo;1154;1022;132
Sipoo;10610;10023;587
Siuntio;3031;2845;186
Sodankylä;3920;3609;311
Soini;826;736;90
Somero;3598;3314;284
Sonkajärvi;1574;1354;220
Sotkamo;4601;4201;400
Sottunga;40;38;2
Sulkava;963;846;117
Sund;509;487;22
Suomussalmi;3083;2579;504
Suonenjoki;2833;2553;280
Sysmä;1341;1197;144
Säkylä;2950;2771;179
Taipalsaari;2147;1967;180
Taivalkoski;1606;1382;224
Taivassalo;707;657;50
Tammela;2753;2540;213
Tampere;117631;104478;13153
Tervo;602;530;72
Tervola;1255;1082;173
Teuva;2000;1844;156
Tohmajärvi;1803;1490;313
Toholampi;1232;1134;98
Toivakka;1021;903;118
Tornio;9726;8584;1142
Turku;94483;83167;11316
Tuusniemi;944;812;132
Tuusula;19531;18287;1244
Tyrnävä;2807;2553;254
Ulvila;5789;5228;561
Urjala;1934;1716;218
Utajärvi;1012;898;114
Utsjoki;513;470;43
Uurainen;1594;1440;154
Uusikaarlepyy;3382;3258;124
Uusikaupunki;7356;6886;470
Vaala;1036;884;152
Vaasa;32525;29756;2769
Valkeakoski;8984;8136;848
Vantaa;120730;110441;10289
Varkaus;8476;7206;1270
Vehmaa;1049;975;74
Vesanto;763;664;99
Vesilahti;2036;1904;132
Veteli;1327;1238;89
Vieremä;1634;1480;154
Vihti;14424;13343;1081
Viitasaari;2432;2128;304
Vimpeli;1186;1100;86
Virolahti;1336;1170;166
Virrat;2595;2338;257
Vårdö;191;186;5
Vöyri;2959;2809;150
Ylitornio;1559;1346;213
Ylivieska;6851;6222;629
Ylöjärvi;15844;14764;1080
Ypäjä;1047;970;77
Ähtäri;2309;2103;206
Äänekoski;7968;6770;1198
